DateTime	Application	App_Status	Monitor	Counter	CounterStatus
2015-01-19 12:08:41	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 12:21:00	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 12:59:22	3772108	NOTFOUND	SVC	test service	OFF	
2015-01-19 12:59:22	3772110	NOTFOUND	SVC	qa service	OFF	
2015-01-19 12:59:22	3772113	NOTFOUND	SVC	t s	OFF	
2015-01-19 12:59:22	3772115	NOTFOUND	SVC	sss	OFF	
2015-01-19 12:59:22	3772116	NOTFOUND	SVC	aa	OFF	
2015-01-19 12:59:22	3772117	GOOD	SVC	shadowprotectsvc	ON	
2015-01-19 12:59:22	3772118	GOOD	SVC	sbamsvc	ON	
2015-01-19 12:59:22	3772119	GOOD	SVC	termservice	ON	
2015-01-19 12:59:22	3775138	ERROR	SVC	a ser	OFF	
2015-01-19 12:59:22	3776107	ERROR	SVC	27 nov service	OFF	
2015-01-19 12:59:22	3776235	ERROR	SVC	aa	OFF	
2015-01-19 12:59:22	3779285	ERROR	SVC	abhi	OFF	
2015-01-19 12:59:22	3779286	ERROR	SVC	aaa	OFF	
2015-01-19 12:59:22	3780948	ERROR	SVC	test	OFF	
2015-01-19 12:59:22	3781109	ERROR	SVC	tt	OFF	
2015-01-19 12:59:22	3792238	GOOD	SVC	vmnetdhcp	ON	
2015-01-19 12:59:22	3792239	GOOD	SVC	vmware nat service	ON	
2015-01-19 12:59:22	3800925	ERROR	SVC	w3svc	OFF	
2015-01-19 12:59:22	3772113	ERROR	PRS	t p	OFF	
2015-01-19 12:59:22	3772115	ERROR	PRS	sss	OFF	
2015-01-19 12:59:22	3772116	ERROR	PRS	aa	OFF	
2015-01-19 12:59:22	3772117	GOOD	PRS	shadowprotectsvc	ON	
2015-01-19 12:59:22	3772118	GOOD	PRS	sbamsvc	ON	
2015-01-19 12:59:22	3775138	ERROR	PRS	a pro	OFF	
2015-01-19 12:59:22	3776107	ERROR	PRS	27 nov process	OFF	
2015-01-19 12:59:22	3776235	ERROR	PRS	aa	OFF	
2015-01-19 12:59:22	3779285	ERROR	PRS	abhi	OFF	
2015-01-19 12:59:22	3779286	ERROR	PRS	aaa	OFF	
2015-01-19 12:59:22	3780948	ERROR	PRS	test	OFF	
2015-01-19 12:59:22	3781109	ERROR	PRS	tt	OFF	
2015-01-19 12:59:22	3792238	GOOD	PRS	vmnetdhcp	ON	
2015-01-19 12:59:22	3792239	GOOD	PRS	vmnat	ON	
2015-01-19 12:59:22	3772113	ERROR	PRT	123456	OFF	
2015-01-19 12:59:22	3772115	ERROR	PRT	333	OFF	
2015-01-19 12:59:22	3772116	ERROR	PRT	111	OFF	
2015-01-19 12:59:22	3775138	ERROR	PRT	100101010	OFF	
2015-01-19 12:59:22	3776107	ERROR	PRT	1000	OFF	
2015-01-19 12:59:22	3779285	ERROR	PRT	123	OFF	
2015-01-19 12:59:22	3779286	ERROR	PRT	123	OFF	
2015-01-19 12:59:22	3780948	ERROR	PRT	9	OFF	
2015-01-19 12:59:22	3781109	ERROR	PRT	1111	OFF	
2015-01-19 14:33:49	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 14:38:42	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 14:46:09	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 14:46:37	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 14:54:33	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 15:09:41	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 16:30:14	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 16:32:32	1	NOTFOUND	SVC	cdp	OFF	
2015-01-19 17:27:16	1	NOTFOUND	SVC	cdp	OFF	
