DateTime	Application	App_Status	Monitor	Counter	CounterStatus
2015-01-16 20:33:19	8194317	REMOVED	SVC	vmicshutdown	OFF	
2015-01-16 20:33:19	8194318	GOOD	SVC	spooler	ON	
2015-01-16 20:33:19	8194319	GOOD	SVC	termservice	ON	
2015-01-16 20:33:19	8194320	GOOD	SVC	rpcss	ON	
2015-01-16 20:33:19	8194321	GOOD	SVC	samss	ON	
2015-01-16 20:33:19	8194322	GOOD	SVC	lanmanserver	ON	
2015-01-16 20:33:19	8194323	GOOD	SVC	sens	ON	
2015-01-16 20:33:19	8194324	GOOD	SVC	schedule	ON	
2015-01-16 20:33:19	8194325	GOOD	SVC	lmhosts	ON	
2015-01-16 20:33:19	8194326	GOOD	SVC	termservice	ON	
2015-01-16 20:33:19	8194327	GOOD	SVC	eventlog	ON	
2015-01-16 20:33:19	8194328	GOOD	SVC	winmgmt	ON	
2015-01-16 20:33:19	8194329	GOOD	SVC	w32time	ON	
2015-01-16 20:33:19	8194330	GOOD	SVC	lanmanworkstation	ON	
2015-01-16 20:33:19	8218336	ERROR	SVC	msdtc	OFF	
2015-01-16 20:33:19	8218337	GOOD	SVC	shadowprotectsvc	ON	
2015-01-16 20:33:19	8218338	GOOD	SVC	sbamsvc	ON	
2015-01-16 20:33:19	8218404	GOOD	SVC	dnscache	ON	
2015-01-16 20:33:19	8218407	GOOD	SVC	shadowprotectsvc	ON	
2015-01-16 20:33:19	8617267	GOOD	SVC	aelookupsvc	ON	
2015-01-16 20:33:19	8722365	ERROR	SVC	cdp	OFF	
2015-01-16 20:33:19	8965366	GOOD	SVC	dhcp	ON	
2015-01-16 20:33:19	8218336	ERROR	PRS	msdtc	OFF	
2015-01-16 20:33:19	8218337	GOOD	PRS	shadowprotectsvc	ON	
2015-01-16 20:33:19	8218338	GOOD	PRS	sbamsvc	ON	
2015-01-16 20:33:19	8218404	GOOD	PRS	svchost	ON	
2015-01-16 20:33:19	8617267	GOOD	PRS	explorer	ON	
2015-01-16 20:33:19	8218404	GOOD	PRT	3389	ON	
2015-01-16 20:33:19	8617267	GOOD	PRT	135	ON	
2015-01-16 20:39:44	8194317	NOTFOUND	SVC	vmicshutdown	OFF	
2015-01-16 20:39:44	8194318	GOOD	SVC	spooler	ON	
2015-01-16 20:39:44	8194319	GOOD	SVC	termservice	ON	
2015-01-16 20:39:44	8194320	GOOD	SVC	rpcss	ON	
2015-01-16 20:39:44	8194321	GOOD	SVC	samss	ON	
2015-01-16 20:39:44	8194322	GOOD	SVC	lanmanserver	ON	
2015-01-16 20:39:44	8194323	GOOD	SVC	sens	ON	
2015-01-16 20:39:44	8194324	GOOD	SVC	schedule	ON	
2015-01-16 20:39:44	8194325	GOOD	SVC	lmhosts	ON	
2015-01-16 20:39:44	8194326	GOOD	SVC	termservice	ON	
2015-01-16 20:39:44	8194327	GOOD	SVC	eventlog	ON	
2015-01-16 20:39:44	8194328	GOOD	SVC	winmgmt	ON	
2015-01-16 20:39:44	8194329	GOOD	SVC	w32time	ON	
2015-01-16 20:39:44	8194330	GOOD	SVC	lanmanworkstation	ON	
2015-01-16 20:39:44	8218336	ERROR	SVC	msdtc	OFF	
2015-01-16 20:39:44	8218337	GOOD	SVC	shadowprotectsvc	ON	
2015-01-16 20:39:44	8218338	GOOD	SVC	sbamsvc	ON	
2015-01-16 20:39:44	8218404	GOOD	SVC	dnscache	ON	
2015-01-16 20:39:44	8218407	GOOD	SVC	shadowprotectsvc	ON	
2015-01-16 20:39:44	8617267	GOOD	SVC	aelookupsvc	ON	
2015-01-16 20:39:44	8722365	ERROR	SVC	cdp	OFF	
2015-01-16 20:39:44	8965366	GOOD	SVC	dhcp	ON	
2015-01-16 20:39:44	8218336	ERROR	PRS	msdtc	OFF	
2015-01-16 20:39:44	8218337	GOOD	PRS	shadowprotectsvc	ON	
2015-01-16 20:39:44	8218338	GOOD	PRS	sbamsvc	ON	
2015-01-16 20:39:44	8218404	GOOD	PRS	svchost	ON	
2015-01-16 20:39:44	8617267	GOOD	PRS	explorer	ON	
2015-01-16 20:39:44	8218404	GOOD	PRT	3389	ON	
2015-01-16 20:39:44	8617267	GOOD	PRT	135	ON	
